id,product_id,user_name,ssi_type,body_level,aroma_level,comment,rating_image,user_id,created_at,total_score,taste_score,aroma_score,image_accuracy_score,rating_image_2
8,1,hitoshi,爽酒,中間,しっかり個性的,非常にスッキリした飲み口で、何杯でもいけちゃいます。食中酒としてこれ以上のものはないですね。毎日のお晩酌に常備したいです。,/cropped_images/伴野酒造株式会社/id_001_Beau_Michelle_front.jpeg,dummy_sns_source,2026-06-11T22:37:33.985517,4.5,3.0,5.0,1.0,
9,2,hitoshi,爽酒,濃醇,すっきりおだやか,非常にスッキリした飲み口で、何杯でもいけちゃいます。食中酒としてこれ以上のものはないですね。毎日のお晩酌に常備したいです。,/cropped_images/有限会社佐々木酒造店/id_002_Leiro_front.jpeg,dummy_sns_source,2026-06-29T04:37:33.985812,4.5,4.0,4.0,1.0,
10,2,hitoshi,爽酒,中間,華やかフルーティ,キリッと冷やして飲むと抜群のキレ味！雑味が一切なくてクリアな喉越しなので、お刺身やカルパッチョなど魚料理との相性が完璧です。,/cropped_images/有限会社佐々木酒造店/id_002_Leiro_front.jpeg,dummy_sns_source,2026-07-11T04:37:33.985846,4.5,3.0,5.0,1.0,
11,3,hitoshi,爽酒,濃醇,すっきりおだやか,キリッと冷やして飲むと抜群のキレ味！雑味が一切なくてクリアな喉越しなので、お刺身やカルパッチョなど魚料理との相性が完璧です。,/cropped_images/油長酒造株式会社/id_003_Kazemonori_Omachi_807_front.jpeg,dummy_sns_source,2026-06-24T00:37:33.985885,3.5,3.5,4.0,1.0,
12,4,hitoshi,爽酒,中間,しっかり個性的,非常にスッキリした飲み口で、何杯でもいけちゃいます。食中酒としてこれ以上のものはないですね。毎日のお晩酌に常備したいです。,/cropped_images/油長酒造株式会社/id_004_Kazemonori_Challenge_Edition_front.jpeg,dummy_sns_source,2026-07-16T18:37:33.985905,4.0,5.0,,1.0,
13,4,hitoshi,爽酒,淡麗辛口,しっかり個性的,キリッと冷やして飲むと抜群のキレ味！雑味が一切なくてクリアな喉越しなので、お刺身やカルパッチョなど魚料理との相性が完璧です。,/cropped_images/油長酒造株式会社/id_004_Kazemonori_Challenge_Edition_front.jpeg,dummy_sns_source,2026-06-10T00:37:33.985923,4.0,,,1.0,
14,5,hitoshi,爽酒,中間,華やかフルーティ,キリッと冷やして飲むと抜群のキレ味！雑味が一切なくてクリアな喉越しなので、お刺身やカルパッチョなど魚料理との相性が完璧です。,/cropped_images/油長酒造株式会社/id_005_Kazemonori_Tsuyuyakaze_807_front.jpeg,dummy_sns_source,2026-07-09T04:37:33.985948,3.5,3.5,,1.0,
15,5,hitoshi,爽酒,濃醇,しっかり個性的,非常にスッキリした飲み口で、何杯でもいけちゃいます。食中酒としてこれ以上のものはないですね。毎日のお晩酌に常備したいです。,,dummy_sns_source,2026-06-13T08:37:33.985963,3.5,,5.0,1.0,
16,6,hitoshi,爽酒,淡麗辛口,すっきりおだやか,非常にスッキリした飲み口で、何杯でもいけちゃいます。食中酒としてこれ以上のものはないですね。毎日のお晩酌に常備したいです。,/cropped_images/油長酒造株式会社/id_006_Kazemonori_Akitsubo_657_front.jpeg,dummy_sns_source,2026-07-13T05:37:33.985981,5.0,3.0,3.5,1.0,
17,7,hitoshi,爽酒,濃醇,しっかり個性的,キリッと冷やして飲むと抜群のキレ味！雑味が一切なくてクリアな喉越しなので、お刺身やカルパッチョなど魚料理との相性が完璧です。,/cropped_images/油長酒造株式会社/id_007_Kazemonori_Akitsubo_507_front.jpeg,dummy_sns_source,2026-06-06T17:37:33.985998,4.0,4.5,4.5,1.0,
